#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
'Brassica napus' phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.743598	-	-	-	1
'Catharanthus roseus' aster yellows phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.603949	1	-	1	1
'Chrysanthemum coronarium' phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.739592	-	-	-	1
'Conium maculatum' witches'-broom phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.758186	-	-	-	1
'Cynodon dactylon' phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.483935	-	-	-	1
'Elaeagnus angustifolia' witches'-broom phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.833199	-	-	-	1
'Fragaria x ananassa' phyllody phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.627584	-	-	-	1
'Osedax' symbiont bacterium Rs2_46_30_T18	Bacteria	unclassified Bacteria	Osedax symbiont bacterium Rs2_46_30_T18	4.02183	-	-	-	1
'Prunus persica' phytoplasma PP2	Bacteria	Terrabacteria group	Mycoplasmatota	0.228345	-	-	-	1
'Santalum album' aster yellows phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.554025	-	-	-	1
'Vigna radiata' phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.58858	-	-	-	1
aalivirus A1	Viruses	Other	Picornaviridae	0.008976	1	-	-	1
Aaosphaeria arxii	Eukaryota	Fungi	Ascomycetes	38.901	-	-	-	1
Aaosphaeria pasadenensis	Eukaryota	Fungi	Ascomycetes	38.7974	-	-	-	1
Abalone herpesvirus Taiwan/2004	Viruses	Other	Other	0.043883	1	-	-	1
Abalone herpesvirus Victoria/AUS/2009	Viruses	Other	Malacoherpesviridae	0.211518	1	-	-	1
Abalone shriveling syndrome-associated virus	Viruses	Other	Other	0.034952	1	-	-	1
Abditibacteriaceae bacterium	Bacteria	Terrabacteria group	Abditibacteriota	6.65216	-	-	-	11
Abditibacteriales bacterium	Bacteria	Terrabacteria group	Abditibacteriota	5.12906	-	-	-	2
Abditibacteriia bacterium	Bacteria	Terrabacteria group	Abditibacteriota	5.03034	-	-	-	1
Abditibacteriota bacterium	Bacteria	Terrabacteria group	Abditibacteriota	7.53356	1	-	1	11
Abditibacterium utsteinense	Bacteria	Terrabacteria group	Abditibacteriota	3.60633	-	-	-	1
Abelmoschus esculentus	Eukaryota	Plants	Land Plants	1194.6	-	-	-	1
Abelson murine leukemia virus	Viruses	Other	Retroviridae	0.005894	1	-	-	1
Abeoforma parvovirus	Viruses	Other	Parvoviridae	0.003411	1	-	-	1
Abeoforma whisleri	Eukaryota	Protists	Other Protists	101.554	-	-	-	1
Abiotrophia	Bacteria	Terrabacteria group	Bacillota	2.06016	-	-	-	24
Abiotrophia defectiva	Bacteria	Terrabacteria group	Bacillota	2.04683	1	-	-	24
Abisara bifasciata	Eukaryota	Animals	Insects	332.742	-	-	-	1
Abisko virus	Viruses	Other	Other	0.010187	1	-	-	1
Abortiporus biennis	Eukaryota	Fungi	Basidiomycetes	33.1186	-	-	-	1
Abramis brama	Eukaryota	Animals	Fishes	1067.4	25	1	-	4
Abrostola tripartita	Eukaryota	Animals	Insects	381.057	31	1	-	2
Abrostola triplasia	Eukaryota	Animals	Insects	362.723	31	1	-	2
Abrus precatorius	Eukaryota	Plants	Land Plants	347.23	-	-	-	1
Abrus pulchellus	Eukaryota	Plants	Land Plants	381.268	11	-	-	2
Abscondita cerata	Eukaryota	Animals	Insects	967.162	-	-	-	1
Abscondita terminalis	Eukaryota	Animals	Insects	499.653	-	-	-	1
Absicoccus porci	Bacteria	Terrabacteria group	Bacillota	2.22213	-	-	-	6
Absidia glauca	Eukaryota	Fungi	Other Fungi	48.7464	-	-	-	1
Absidia healeyae	Eukaryota	Fungi	Other Fungi	43.5089	-	-	-	1
Absidia repens	Eukaryota	Fungi	Other Fungi	47.4229	-	-	-	1
Absidia sp. UoMAU379	Eukaryota	Fungi	Other Fungi	49.4179	-	-	-	1
Abutilon Brazil virus	Viruses	Other	Geminiviridae	0.005271	2	-	-	1
Abyssalbus ytuae	Bacteria	FCB group	Bacteroidota/Chlorobiota group	4.36504	1	-	-	1
Abyssibacter profundi	Bacteria	Pseudomonadota	Gammaproteobacteria	3.74151	-	-	-	1
Abyssibius alkaniclasticus	Bacteria	Pseudomonadota	Alphaproteobacteria	3.20881	1	-	-	1
Abyssicoccus albus	Bacteria	Terrabacteria group	Bacillota	1.74579	1	-	-	2
Abyssisolibacter fermentans	Bacteria	Terrabacteria group	Bacillota	4.78636	-	-	-	1
Abyssogena phaseoliformis symbiont	Bacteria	Pseudomonadota	Gammaproteobacteria	1.54218	1	-	-	1
Acacia acuminata	Eukaryota	Plants	Land Plants	880.087	-	1	-	1
Acacia concinna	Eukaryota	Plants	Land Plants	742.99	-	-	-	1
Acacia confusa	Eukaryota	Plants	Land Plants	563.996	13	-	-	1
Acacia crassicarpa	Eukaryota	Plants	Land Plants	750.735	-	-	-	1
Acacia melanoxylon	Eukaryota	Plants	Land Plants	749.108	-	1	-	1
Acacia pycnantha	Eukaryota	Plants	Land Plants	815.415	-	1	-	1
Acadianvirus acadian	Viruses	Other	Other	0.069864	1	-	-	1
Acalypha hispida	Eukaryota	Plants	Land Plants	2162.79	-	-	-	1
Acanthacorydalis orientalis	Eukaryota	Animals	Insects	547.984	13	-	-	1
Acanthamoeba	Eukaryota	Protists	Other Protists	15.6969	-	-	-	3
Acanthamoeba astronyxis	Eukaryota	Protists	Other Protists	83.4325	-	-	-	1
Acanthamoeba castellanii	Eukaryota	Protists	Other Protists	42.0198	-	-	-	7
Acanthamoeba castellanii mamavirus	Viruses	Other	Mimiviridae	1.19169	1	-	-	1
Acanthamoeba castellanii medusavirus	Viruses	unclassified viruses	unclassified	0.381277	1	-	-	2
Acanthamoeba castellanii mimivirus	Viruses	Other	Mimiviridae	1.18285	1	-	-	2
Acanthamoeba comandoni	Eukaryota	Protists	Other Protists	86.2147	-	-	-	1
Acanthamoeba culbertsoni	Eukaryota	Protists	Other Protists	55.5438	-	-	-	1
Acanthamoeba divionensis	Eukaryota	Protists	Other Protists	84.7694	-	-	-	1
Acanthamoeba healyi	Eukaryota	Protists	Other Protists	75.3182	-	-	-	1
Acanthamoeba lenticulata	Eukaryota	Protists	Other Protists	75.5694	-	-	-	3
Acanthamoeba lugdunensis	Eukaryota	Protists	Other Protists	99.4171	-	-	-	1
Acanthamoeba mauritaniensis	Eukaryota	Protists	Other Protists	106.836	-	-	-	1
Acanthamoeba palestinensis	Eukaryota	Protists	Other Protists	103.483	-	-	-	1
Acanthamoeba pearcei	Eukaryota	Protists	Other Protists	115.614	-	-	-	1
Acanthamoeba polyphaga	Eukaryota	Protists	Other Protists	49.3537	-	-	-	2
Acanthamoeba polyphaga lentillevirus	Viruses	Other	Mimiviridae	1.19343	1	-	-	1
Acanthamoeba polyphaga mimivirus	Viruses	Other	Mimiviridae	1.25866	1	-	-	13
Acanthamoeba polyphaga moumouvirus	Viruses	Other	Mimiviridae	1.02135	1	-	-	1
Acanthamoeba quina	Eukaryota	Protists	Other Protists	83.589	-	-	-	1
Acanthamoeba rhysodes	Eukaryota	Protists	Other Protists	75.8213	-	-	-	1
Acanthamoeba royreba	Eukaryota	Protists	Other Protists	79.5441	-	-	-	1
Acanthamoeba triangularis	Eukaryota	Protists	Other Protists	66.4284	-	-	-	1
Acanthaster planci	Eukaryota	Animals	Other Animals	383.86	-	1	-	7
Acanthis cabaret	Eukaryota	Animals	Birds	1313.86	-	-	-	1
Acanthis flammea	Eukaryota	Animals	Birds	1070.99	-	-	-	1
Acanthisitta chloris	Eukaryota	Animals	Birds	1035.88	38	1	-	3
Acanthiza pusilla	Eukaryota	Animals	Birds	1246.69	-	-	-	1
Acanthochaenus luetkenii	Eukaryota	Animals	Fishes	545.759	-	-	-	1
Acanthocheilonema viteae	Eukaryota	Animals	Roundworms	77.3509	-	-	-	1
Acanthochlamys bracteata	Eukaryota	Plants	Land Plants	197.966	20	-	-	1
Acanthochromis polyacanthus	Eukaryota	Animals	Fishes	956.772	24	1	-	2
Acanthococcus lagerstroemiae	Eukaryota	Animals	Insects	658.133	9	-	-	1
Acanthocystis turfacea Chlorella virus Br0604L	Viruses	Other	Phycodnaviridae	0.295545	1	-	-	1
Acanthocystis turfacea Chlorella virus Can0610SP	Viruses	Other	Phycodnaviridae	0.306752	1	-	-	1
Acanthocystis turfacea Chlorella virus Canal-1	Viruses	Other	Phycodnaviridae	0.293004	1	-	-	1
Acanthocystis turfacea Chlorella virus GM0701.1	Viruses	Other	Phycodnaviridae	0.315239	1	-	-	1
Acanthocystis turfacea Chlorella virus MN0810.1	Viruses	Other	Phycodnaviridae	0.327406	1	-	-	1
Acanthocystis turfacea Chlorella virus MO0605SPH	Viruses	Other	Phycodnaviridae	0.289449	1	-	-	1
Acanthocystis turfacea Chlorella virus NE-JV-2	Viruses	Other	Phycodnaviridae	0.319583	1	-	-	1
Acanthocystis turfacea Chlorella virus NE-JV-3	Viruses	Other	Phycodnaviridae	0.298622	1	-	-	1
Acanthocystis turfacea Chlorella virus NTS-1	Viruses	Other	Phycodnaviridae	0.323517	1	-	-	1
Acanthocystis turfacea Chlorella virus OR0704.3	Viruses	Other	Phycodnaviridae	0.311647	1	-	-	1
Acanthocystis turfacea Chlorella virus TN603.4.2	Viruses	Other	Phycodnaviridae	0.32088	1	-	-	1
Acanthocystis turfacea Chlorella virus WI0606	Viruses	Other	Phycodnaviridae	0.289373	1	-	-	1
Acanthopagrus latus	Eukaryota	Animals	Fishes	685.144	24	-	-	4
Acanthopleura granulata	Eukaryota	Animals	Other Animals	606.537	-	-	-	1
Acanthopleuribacter pedis	Bacteria	Acidobacteriota	Holophagae	10.8486	-	-	-	1
Acanthornis magna	Eukaryota	Animals	Birds	1482.44	-	-	-	1
Acanthoscelides obtectus	Eukaryota	Animals	Insects	1105.07	-	-	-	2
Acanthoscurria geniculata	Eukaryota	Animals	Other Animals	7178.4	-	-	-	1
Acanthosoma haemorrhoidale	Eukaryota	Animals	Insects	865.622	7	1	-	2
Acanthurus coeruleus	Eukaryota	Animals	Fishes	726.741	-	-	-	1
Acanthurus grammoptilus	Eukaryota	Animals	Fishes	583.99	-	-	-	1
Acanthurus leucopareius	Eukaryota	Animals	Fishes	642.242	-	-	-	1
Acanthurus lineatus	Eukaryota	Animals	Fishes	641.975	-	-	-	1
Acanthurus nigricauda	Eukaryota	Animals	Fishes	730.195	-	-	-	1
Acanthurus reversus	Eukaryota	Animals	Fishes	1668.42	-	-	-	1
Acanthurus tennentii	Eukaryota	Animals	Fishes	709.717	-	-	-	1
Acanthurus tractus	Eukaryota	Animals	Fishes	712.348	-	-	-	1
Acarapis woodi	Eukaryota	Animals	Other Animals	78.8839	-	-	-	1
Acaricomes phytoseiuli	Bacteria	Terrabacteria group	Actinomycetota	2.41952	-	-	-	2
Acaromyces ingoldii	Eukaryota	Fungi	Basidiomycetes	19.3301	-	-	-	1
Acarospora aff. strigata	Eukaryota	Fungi	Ascomycetes	28.6519	-	-	-	1
Acarospora socialis	Eukaryota	Fungi	Ascomycetes	31.1729	-	-	-	1
Acartia tonsa	Eukaryota	Animals	Other Animals	989.164	-	-	-	1
Acartia tonsa copepod circovirus	Viruses	Other	Circoviridae	0.00167	1	-	-	1
Acaryochloridaceae cyanobacterium CSU_3_4	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	2.74569	-	-	-	1
Acaryochloridaceae cyanobacterium CSU_5_19	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	1.28234	-	-	-	1
Acaryochloridaceae cyanobacterium OTE_25_metabat_464	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	5.2727	-	-	-	1
Acaryochloridaceae cyanobacterium OTE_75_metabat_521	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	4.42979	-	-	-	1
Acaryochloridaceae cyanobacterium RL_2_7	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	1.46145	-	-	-	1
Acaryochloridaceae cyanobacterium RU_4_10	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	4.48368	-	-	-	1
Acaryochloridaceae cyanobacterium SU_2_1	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	3.0211	-	-	-	1
Acaryochloridaceae cyanobacterium VAR_48_metabat_390	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	3.70284	-	-	-	1
Acaryochloris	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	8.09443	1	-	21	11
Acaryochloris marina	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	8.3616	1	-	9	3
Acaryochloris phage A-HIS1	Viruses	Other	Other	0.055653	1	-	-	1
Acaryochloris phage A-HIS2	Viruses	Other	Other	0.057391	1	-	-	1
Acaryochloris thomasi RCC1774	Bacteria	Terrabacteria group	Cyanobacteriota/Melainabacteria group	5.93184	-	-	-	2
Acaulopage tetraceros	Eukaryota	Fungi	Other Fungi	11.1768	-	-	-	1
Acaulospora colombiana	Eukaryota	Fungi	Other Fungi	299.808	-	-	-	1
Acaulospora morrowiae	Eukaryota	Fungi	Other Fungi	218.774	-	-	-	1
Accipiter badius	Eukaryota	Animals	Birds	1206.54	-	-	-	1
Accipiter cirrocephalus	Eukaryota	Animals	Birds	1204.9	-	-	-	1
Accipiter cooperii	Eukaryota	Animals	Birds	1190.55	-	-	-	1
Accipiter fasciatus	Eukaryota	Animals	Birds	1269.67	-	-	-	1
Accipiter francesiae	Eukaryota	Animals	Birds	1203.34	-	-	-	1
Accipiter gentilis	Eukaryota	Animals	Birds	1398.01	40	1	-	5
Accipiter hiogaster	Eukaryota	Animals	Birds	1223.02	-	-	-	1
Accipiter madagascariensis	Eukaryota	Animals	Birds	1203.44	-	-	-	1
Accipiter melanochlamys	Eukaryota	Animals	Birds	1398.01	-	-	-	1
Accipiter melanoleucus	Eukaryota	Animals	Birds	1264.46	-	-	-	1
Accipiter meyerianus	Eukaryota	Animals	Birds	1313.18	-	-	-	1
Accipiter minullus	Eukaryota	Animals	Birds	1206.13	-	-	-	1
Accipiter nisus	Eukaryota	Animals	Birds	1190.65	-	-	-	1
Accipiter novaehollandiae	Eukaryota	Animals	Birds	1234.82	-	-	-	1
Accipiter rhodogaster	Eukaryota	Animals	Birds	1260.06	-	-	-	1
Accipiter rufiventris	Eukaryota	Animals	Birds	1218.55	-	-	-	1
Accipiter soloensis	Eukaryota	Animals	Birds	1202.46	-	-	-	1
Accipiter superciliosus	Eukaryota	Animals	Birds	1216.27	-	-	-	1
Accipiter virgatus	Eukaryota	Animals	Birds	1185.84	-	-	-	1
Acentria ephemerella	Eukaryota	Animals	Insects	340.793	31	1	-	2
Acephala macrosclerotiorum	Eukaryota	Fungi	Ascomycetes	73.6833	-	-	-	1
Acer campestre	Eukaryota	Plants	Land Plants	566.012	14	2	-	2
Acer negundo	Eukaryota	Plants	Land Plants	420.86	13	-	-	2
Acer saccharum	Eukaryota	Plants	Land Plants	626.455	13	-	-	2
Acer yangbiense	Eukaryota	Plants	Land Plants	665.888	13	2	-	1
Acerihabitans arboris	Bacteria	Pseudomonadota	Gammaproteobacteria	5.64493	-	-	-	1
Acestrorhynchus altus	Eukaryota	Animals	Fishes	950.196	25	-	-	1
Acetabularia acetabulum	Eukaryota	Plants	Green Algae	59.3459	-	-	-	3
Acetanaerobacterium	Bacteria	Terrabacteria group	Bacillota	2.82453	-	-	-	2
Acetanaerobacterium elongatum	Bacteria	Terrabacteria group	Bacillota	2.91621	-	-	-	1
Acetatifactor aquisgranensis	Bacteria	Terrabacteria group	Bacillota	5.88065	-	-	-	1
Acetatifactor muris	Bacteria	Terrabacteria group	Bacillota	6.01365	-	-	-	9
Aceticella autotrophica	Bacteria	Terrabacteria group	Bacillota	2.26762	1	-	-	1
Acetilactobacillus jinshanensis	Bacteria	Terrabacteria group	Bacillota	1.61643	1	-	-	1
Acetitomaculum ruminis	Bacteria	Terrabacteria group	Bacillota	3.08272	-	-	-	1
Acetivibrio alkalicellulosi	Bacteria	Terrabacteria group	Bacillota	5.30723	-	-	-	1
Acetivibrio cellulolyticus	Bacteria	Terrabacteria group	Bacillota	6.15674	-	-	-	1
Acetivibrio clariflavus	Bacteria	Terrabacteria group	Bacillota	4.89768	1	-	-	4
Acetivibrio ethanolgignens	Bacteria	Terrabacteria group	Bacillota	3.66025	-	-	-	2
Acetivibrio mesophilus	Bacteria	Terrabacteria group	Bacillota	4.04484	-	-	-	2
Acetivibrio saccincola	Bacteria	Terrabacteria group	Bacillota	3.60455	1	-	-	5
Acetivibrio straminisolvens	Bacteria	Terrabacteria group	Bacillota	4.38546	-	-	-	3
Acetivibrio thermocellus	Bacteria	Terrabacteria group	Bacillota	3.57758	1	-	-	13
Acetoanaerobium noterae	Bacteria	Terrabacteria group	Bacillota	2.81423	-	-	-	3
Acetoanaerobium pronyense	Bacteria	Terrabacteria group	Bacillota	2.9803	-	-	-	1
Acetoanaerobium sticklandii	Bacteria	Terrabacteria group	Bacillota	2.71546	1	-	-	1
Acetobacter	Bacteria	Pseudomonadota	Alphaproteobacteria	3.70815	1	-	4	94
Acetobacter aceti	Bacteria	Pseudomonadota	Alphaproteobacteria	3.69077	1	-	4	12
Acetobacter ascendens	Bacteria	Pseudomonadota	Alphaproteobacteria	3.28583	1	-	3	3
Acetobacter cerevisiae	Bacteria	Pseudomonadota	Alphaproteobacteria	3.08807	-	-	-	7
Acetobacter cibinongensis	Bacteria	Pseudomonadota	Alphaproteobacteria	3.10509	-	-	-	3
Acetobacter conturbans	Bacteria	Pseudomonadota	Alphaproteobacteria	3.88413	-	-	-	1
Acetobacter estunensis	Bacteria	Pseudomonadota	Alphaproteobacteria	3.64384	-	-	-	2
Acetobacter fabarum	Bacteria	Pseudomonadota	Alphaproteobacteria	2.8958	-	-	-	34
Acetobacter fallax	Bacteria	Pseudomonadota	Alphaproteobacteria	4.21701	-	-	-	2
Acetobacter farinalis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.947	-	-	-	2
Acetobacter garciniae	Bacteria	Pseudomonadota	Alphaproteobacteria	3.84825	-	-	-	2
Acetobacter ghanensis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.79403	1	-	2	2
Acetobacter indonesiensis	Bacteria	Pseudomonadota	Alphaproteobacteria	3.19172	-	-	-	9
Acetobacter lambici	Bacteria	Pseudomonadota	Alphaproteobacteria	3.25237	-	-	-	3
Acetobacter lovaniensis	Bacteria	Pseudomonadota	Alphaproteobacteria	3.46946	-	-	-	5
Acetobacter malorum	Bacteria	Pseudomonadota	Alphaproteobacteria	3.83348	-	-	-	8
Acetobacter musti	Bacteria	Pseudomonadota	Alphaproteobacteria	4.71341	-	-	-	1
Acetobacter nitrogenifigens	Bacteria	Pseudomonadota	Alphaproteobacteria	4.24131	-	-	-	2
Acetobacter oeni	Bacteria	Pseudomonadota	Alphaproteobacteria	4.10607	-	-	-	3
Acetobacter okinawensis	Bacteria	Pseudomonadota	Alphaproteobacteria	3.1109	-	-	-	5
Acetobacter orientalis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.91069	1	-	1	12
Acetobacter orleanensis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.99754	-	-	-	4
Acetobacter oryzifermentans	Bacteria	Pseudomonadota	Alphaproteobacteria	3.12745	1	-	3	2
Acetobacter oryzoeni	Bacteria	Pseudomonadota	Alphaproteobacteria	3.15318	1	-	3	2
Acetobacter papayae	Bacteria	Pseudomonadota	Alphaproteobacteria	3.04108	-	-	-	1
Acetobacter pasteurianus	Bacteria	Pseudomonadota	Alphaproteobacteria	3.40393	1	-	7	30
Acetobacter peroxydans	Bacteria	Pseudomonadota	Alphaproteobacteria	2.70346	-	-	-	15
Acetobacter persici	Bacteria	Pseudomonadota	Alphaproteobacteria	3.50553	1	-	1	9
Acetobacter phage phiAO1	Viruses	Other	Other	0.0341	1	-	-	1
Acetobacter phage phiAP1	Viruses	Other	Other	0.042805	1	-	-	1
Acetobacter phage phiAX1	Viruses	Other	Other	0.050652	1	-	-	1
Acetobacter pomorum	Bacteria	Pseudomonadota	Alphaproteobacteria	3.33212	1	-	3	8
Acetobacter sacchari	Bacteria	Pseudomonadota	Alphaproteobacteria	4.5532	-	-	-	1
Acetobacter senegalensis	Bacteria	Pseudomonadota	Alphaproteobacteria	3.96991	1	-	1	11
Acetobacter sicerae	Bacteria	Pseudomonadota	Alphaproteobacteria	4.03306	-	-	-	2
Acetobacter suratthaniensis	Bacteria	Pseudomonadota	Alphaproteobacteria	3.08818	-	-	-	2
Acetobacter syzygii	Bacteria	Pseudomonadota	Alphaproteobacteria	2.68737	-	-	-	8
Acetobacter thailandicus	Bacteria	Pseudomonadota	Alphaproteobacteria	2.805	-	-	-	6
Acetobacter tropicalis	Bacteria	Pseudomonadota	Alphaproteobacteria	3.76963	1	-	1	12
Acetobacter vaccinii	Bacteria	Pseudomonadota	Alphaproteobacteria	3.08225	1	-	2	1
Acetobacteraceae bacterium	Bacteria	Pseudomonadota	Alphaproteobacteria	8.65626	39	-	1	302
Acetobacteraceae bacterium AT-5844	Bacteria	Pseudomonadota	Alphaproteobacteria	5.19055	-	-	-	1
Acetobacteraceae bacterium B3987	Bacteria	Pseudomonadota	Alphaproteobacteria	2.04301	-	-	-	1
Acetobacteraceae bacterium ESL0697	Bacteria	Pseudomonadota	Alphaproteobacteria	2.19299	-	-	-	1
Acetobacteraceae bacterium ESL0709	Bacteria	Pseudomonadota	Alphaproteobacteria	2.24967	-	-	-	1
Acetobacteraceae bacterium EV16G	Bacteria	Pseudomonadota	Alphaproteobacteria	2.38197	-	-	-	1
Acetobacteraceae bacterium EV16P	Bacteria	Pseudomonadota	Alphaproteobacteria	2.38858	-	-	-	1
Acetobacteraceae bacterium H6797	Bacteria	Pseudomonadota	Alphaproteobacteria	4.84422	-	-	-	1
Acetobacteraceae bacterium KSS12	Bacteria	Pseudomonadota	Alphaproteobacteria	3.95503	-	-	-	1
Acetobacteraceae bacterium KSS8	Bacteria	Pseudomonadota	Alphaproteobacteria	3.71828	-	-	-	1
Acetobacteraceae bacterium SCN 69-10	Bacteria	Pseudomonadota	Alphaproteobacteria	2.10074	-	-	-	1
Acetobacteraceae bacterium UBA6159	Bacteria	Pseudomonadota	Alphaproteobacteria	4.62817	-	-	-	1
Acetobacterium	Bacteria	Terrabacteria group	Bacillota	3.98837	1	-	-	12
Acetobacterium bakii	Bacteria	Terrabacteria group	Bacillota	4.31918	-	-	-	4
Acetobacterium dehalogenans	Bacteria	Terrabacteria group	Bacillota	4.05007	-	-	-	1
Acetobacterium fimetarium	Bacteria	Terrabacteria group	Bacillota	3.23749	-	-	-	1
Acetobacterium malicum	Bacteria	Terrabacteria group	Bacillota	4.07723	-	-	-	1
Acetobacterium paludosum	Bacteria	Terrabacteria group	Bacillota	3.69113	-	-	-	2
Acetobacterium tundrae	Bacteria	Terrabacteria group	Bacillota	3.56308	-	-	-	2
Acetobacterium wieringae	Bacteria	Terrabacteria group	Bacillota	3.60634	1	-	-	7
Acetobacterium woodii	Bacteria	Terrabacteria group	Bacillota	4.04478	1	-	-	2
Acetobacteroides hydrogenigenes	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.8611	-	-	-	1
Acetohalobium arabaticum	Bacteria	Terrabacteria group	Bacillota	2.4696	1	-	-	1
Acetomicrobium	Bacteria	Synergistota	Synergistia	2.444	-	-	-	16
Acetomicrobium flavidum	Bacteria	Synergistota	Synergistia	1.94473	-	-	-	2
Acetomicrobium hydrogeniformans	Bacteria	Synergistota	Synergistia	2.12392	-	-	-	5
Acetomicrobium mobile	Bacteria	Synergistota	Synergistia	2.1607	1	-	-	2
Acetomicrobium thermoterrenum	Bacteria	Synergistota	Synergistia	1.96758	-	-	-	1
Acetonema longum	Bacteria	Terrabacteria group	Bacillota	4.32301	-	-	-	1
Acetothermia bacterium 64_32	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.8102	-	-	-	1
Acetothermia bacterium SCGC AAA255-C06	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	0.669384	-	-	-	1
Acetothermia bacterium UBA2187	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	0.930847	-	-	-	1
Acetothermia bacterium UBA3560	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.87253	-	-	-	1
Acetothermia bacterium UBA3563	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.51927	-	-	-	1
Acetothermia bacterium UBA3564	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.49784	-	-	-	1
Acetothermia bacterium UBA3565	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.83394	-	-	-	1
Acetothermia bacterium UBA3571	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.84257	-	-	-	1
Acetothermia bacterium UBA3574	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.57678	-	-	-	1
Acetothermia bacterium UBA4777	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.15066	-	-	-	1
Acetothermia bacterium UBA4801	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.7278	-	-	-	1
Acetothermia bacterium UBA7521	Bacteria	Bacteria incertae sedis	Bacteria candidate phyla	1.79071	-	-	-	1
Achaetomiella virescens	Eukaryota	Fungi	Ascomycetes	34.2587	-	-	-	1
Achaetomium macrosporum	Eukaryota	Fungi	Ascomycetes	32.434	-	-	-	1
Achatina immaculata	Eukaryota	Animals	Other Animals	1653.15	-	-	-	1
Acheta domestica densovirus	Viruses	Other	Parvoviridae	0.005425	1	-	-	2
Acheta domestica mini ambidensovirus	Viruses	Other	Parvoviridae	0.004945	1	-	-	1
Acheta domesticus	Eukaryota	Animals	Insects	929.173	-	-	-	1
Acheta domesticus iflavirus	Viruses	Other	Iflaviridae	0.018143	2	-	-	2
Acheta domesticus volvovirus	Viruses	unclassified viruses	unclassified	0.002517	1	-	-	1
Achimota pararubulavirus 3	Viruses	Other	Paramyxoviridae	0.0156	1	-	-	1
Achimota virus 1	Viruses	Other	Paramyxoviridae	0.015624	1	-	-	1
Achimota virus 2	Viruses	Other	Paramyxoviridae	0.015504	1	-	-	1
Achipteria coleoptrata	Eukaryota	Animals	Other Animals	88.4439	-	-	-	2
Achipteria nitens	Eukaryota	Animals	Other Animals	106.201	-	-	-	1
Achlya flavicornis	Eukaryota	Animals	Insects	444.574	30	1	-	2
Achlya hypogyna	Eukaryota	Protists	Other Protists	43.3985	-	-	-	1
Acholeplasma	Bacteria	Terrabacteria group	Mycoplasmatota	2.58225	-	-	-	27
Acholeplasma equifetale	Bacteria	Terrabacteria group	Mycoplasmatota	1.28237	-	-	-	1
Acholeplasma equirhinis	Bacteria	Terrabacteria group	Mycoplasmatota	1.44642	-	-	-	1
Acholeplasma granularum	Bacteria	Terrabacteria group	Mycoplasmatota	1.45354	-	-	-	1
Acholeplasma hippikon	Bacteria	Terrabacteria group	Mycoplasmatota	1.46567	1	-	1	2
Acholeplasma laidlawii	Bacteria	Terrabacteria group	Mycoplasmatota	1.49164	1	-	-	18
Acholeplasma oculi	Bacteria	Terrabacteria group	Mycoplasmatota	1.60058	1	-	-	3
[Acholeplasma] multilocale	Bacteria	Terrabacteria group	Mycoplasmatota	0.924993	-	-	-	1
Acholeplasmataceae bacterium	Bacteria	Terrabacteria group	Mycoplasmatota	2.22966	1	-	-	80
Acholeplasmataceae bacterium UBA2284	Bacteria	Terrabacteria group	Mycoplasmatota	1.53008	-	-	-	1
